#OTU ID	C002	C003	C007	C010	C011	C012	C018	C021	C024	C042	C048	C052	C054	K100	K105	K106	K108	K113	K119	K124	K125	K301	K304	K306	K309	K316	S010	S020	S030	S050	S080	S100	S110	S120	S130	S150	S180	S200	S210	S220	S240	S260	S280	S290	S320	S330	Y1	Y10	Y11	Y12	Y13	Y14	Y15	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9
C002_127647	1273	1305	110	19	874	11	19	1319	2195	23	498	1200	24	2891	978	1890	1600	2029	23	126	114	1526	2364	2141	1600	162	207	2335	139	199	228	1163	106	30	47	390	170	437	7	1	2	311	12	413	737	1839	1735	2067	3391	1006	895	1565	839	1334	448	1523	1413	1651	886	1447	3075
C002_338506	165	75	0	5	0	0	25	60	183	27	154	251	0	634	235	61	422	517	18	156	1	179	36	90	136	1	62	331	0	1	0	166	2	27	69	98	0	32	0	1	1	16	516	64	1	320	0	0	9	0	82	20	662	41	2	1	0	0	52	6	153
C002_46109	1803	810	463	979	51	151	6	165	115	80	192	46	32	841	742	108	266	279	308	880	628	354	476	526	814	109	130	73	25	66	24	83	9	8	105	100	21	58	1169	6	460	428	57	807	2675	30	1788	597	150	144	158	432	103	548	1314	578	297	1325	1299	267	139
C002_288744	853	26	1	1	29	5	35	425	14	4	22	151	1	33	51	244	124	21	0	13	6	407	52	7	27	7	5	161	10	12	161	292	6	6	5	127	22	7	6	3	1	200	2	44	2	28	5	14	10	31	717	6	79	421	1	22	67	155	31	18	17
C002_305953	830	315	201	31	101	281	105	789	694	77	13	182	65	918	265	130	219	136	25	245	3263	281	757	2297	783	462	51	38	89	4	18	114	1	16	84	39	355	37	673	16	3071	131	9	2699	1018	1341	1192	1202	892	267	788	510	71	700	2967	689	485	1158	765	803	157
C002_139748	127	2	22	0	0	65	18	1	2	25	36	5	0	0	3	1	52	2	69	9	0	5	4	3	0	0	49	0	22	0	34	43	2	9	118	0	0	36	1	156	5	0	21	11	0	0	1	0	0	2	3	0	31	1	4	0	7	0	0	7	0
C002_212810	171	3	93	0	97	547	152	3	0	197	147	2	0	0	4	10	75	3	145	17	1	1	0	21	0	0	153	0	98	0	149	85	94	142	2	0	8	278	3	313	0	0	219	56	1	1	1	0	0	0	32	0	158	2	1	0	0	0	0	0	0
C012_23418	516	70	147	0	138	37	33	77	47	46	215	131	265	125	12	68	59	16	19	13	14	143	10	0	71	16	5	41	199	87	112	65	520	83	20	0	92	45	1	210	3	3	68	43	6	11	0	139	0	13	25	0	19	33	98	805	177	31	134	1	76
C002_337655	74	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	49	0	20	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
K306_33439	14	0	0	0	0	0	0	1	0	5	15	2	0	0	2	0	6	0	0	0	0	0	1	35	0	0	2	0	0	0	0	0	0	0	9	12	0	0	0	1	0	3	0	2	0	0	1	41	0	33	0	0	6	0	17	23	0	0	0	3	1
C002_294208	543	1163	2	271	170	0	1	120	3	4	658	0	64	216	234	1378	143	1330	230	136	19	231	517	207	418	4758	173	35	18	731	1	55	145	32	53	1177	1	366	1	1	0	5	6	2	179	3	437	485	8	4875	982	1535	221	345	12	15	551	274	66	467	52
C002_292697	947	77	95	326	110	141	0	10	1	0	452	76	1	1	45	88	2	50	13	10	1	51	9	0	4	0	3	341	95	3	102	58	116	74	42	6	25	0	2	140	0	12	141	2	3	7	0	2	3	50	49	4	134	33	43	3	123	160	610	76	180
C002_64156	30	0	11	0	0	0	11	0	11	0	0	5	0	0	0	0	1	0	0	0	0	0	7	2	1	0	0	0	16	0	0	0	0	0	0	19	82	0	0	0	0	0	40	0	0	24	2	0	4	0	15	0	0	0	1	0	0	0	5	22	0
S320_48003	1088	113	0	181	121	168	0	262	396	1013	0	263	17	272	178	45	69	20	350	1	715	305	219	0	4	0	1272	1	152	2	215	122	0	1	0	51	0	2	7	65	0	29	42	0	2125	1	307	243	309	0	0	318	0	43	2	7	45	25	0	0	13
S290_77681	6	9	0	0	0	2	3	0	0	0	10	0	8	0	0	0	5	0	0	0	0	1	3	0	0	0	7	5	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C002_44602	117	24	0	0	77	2	45	0	0	0	16	0	0	0	3	2	0	6	8	0	0	0	14	0	0	0	0	61	26	0	0	0	0	1	31	6	0	0	5	0	0	0	42	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0	1	0
C002_291836	252	1131	1159	75	43	1030	27	142	288	630	58	303	83	1036	870	46	173	76	75	591	1553	420	291	20	261	1026	86	46	13	731	125	834	18	40	3	167	20	1	203	391	568	80	45	488	1319	1	1184	451	183	61	153	1133	154	928	542	759	296	2165	3429	99	157
C007_347925	113	22	4	98	4	92	61	3	4	0	46	43	0	0	16	0	9	3	23	34	1	3	17	32	0	0	35	1	0	294	12	6	4	6	5	0	36	2	1	0	9	0	0	64	0	0	0	0	0	18	161	0	24	8	1	0	79	0	0	26	2
C002_125724	54	15	54	14	37	56	5	23	18	1	62	14	64	11	9	5	15	12	18	10	6	25	1	72	13	224	8	18	8	28	15	0	3	3	44	9	136	10	4	99	9	33	0	64	0	39	9	17	10	24	18	0	20	2	19	12	97	11	7	8	45
S030_34056	53	14	0	0	0	55	0	0	0	2	21	0	0	0	0	0	4	1	48	0	0	1	1	0	0	0	0	1	39	0	46	1	0	0	9	0	2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
C007_172531	19	1	67	44	0	40	20	0	10	97	7	5	27	13	0	0	9	11	17	6	30	1	0	22	25	62	0	33	21	12	55	35	24	37	1	28	11	160	107	155	38	12	56	69	90	29	9	1	55	2	3	2	0	0	76	3	0	4	37	2	0
C024_175444	17	1	0	8	0	1	0	0	160	0	1	3	1	0	0	0	1	9	0	0	1	4	0	3	8	1	0	0	0	1	0	1	6	1	0	0	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0
K306_1460	48	1	17	3	0	23	4	0	0	5	15	0	2	2	1	4	3	0	13	1	3	2	1	6	3	13	2	32	7	7	13	1	4	1	9	17	38	1	3	8	5	2	3	2	8	44	1	4	4	13	9	0	5	0	15	4	0	1	0	12	3
C002_215380	243	4	0	0	0	357	1	8	3	36	64	10	1	3	1	4	14	3	92	2	132	13	1	12	1	1	49	0	14	0	4	0	0	2	158	6	1	0	42	17	7	0	1	0	1	4	0	7	3	24	1	1	0	0	4	4	0	3	5	1	3
K125_843	19	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	34	0	0	0	2	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	2	12	6	0	0	0	0	0	0	3	0	0	0	1	0
C002_218914	854	5	1179	2	46	1199	9	9	26	30	772	60	83	2	5	77	50	6	156	17	292	10	25	399	42	17	169	660	50	1019	169	91	379	27	305	140	21	193	118	35	465	5	63	3	714	6	40	55	125	128	75	19	63	7	40	15	34	39	24	450	32
C002_29659	99	75	0	0	0	2	7	9	0	4	54	17	36	1	3	64	49	112	3	1	1	0	6	0	9	0	1	81	1	0	12	40	1	16	1	15	0	0	2	34	130	2	0	8	0	39	0	0	0	1	116	0	113	13	0	11	255	10	7	0	4
C002_61044	753	15	51	52	186	48	99	90	1	26	192	128	0	313	2	115	154	49	238	34	7	71	22	212	0	59	8	100	207	0	0	0	28	99	22	0	69	82	0	207	41	9	52	54	18	15	21	0	0	41	7	0	124	55	0	153	0	191	224	30	194
C003_30592	248	203	115	1125	816	21	13	170	44	382	490	64	0	0	657	217	330	604	2	211	31	95	101	69	141	21	687	626	554	301	1372	466	924	917	475	719	313	621	836	0	47	0	279	438	19	4	24	95	1	236	159	1	0	267	0	15	0	79	29	138	30
